quantity,value
Respondents with at least one classified interview,40354
Person-interviews with a classified state,237944
Intervals between interviews,197590
Deaths with an exact date,15962
"Mean interval length, years",2.0455542834219926
Waves,4-16 (1998-2022)
"Weighted share of person-interviews in Healthy, %",16.526358316171134
"Weighted share of person-interviews in Chronic illness, %",68.6229347907172
"Weighted share of person-interviews in Disability, %",10.786211299206949
"Weighted share of person-interviews in Long-term-care need, %",4.064495593904717
