parameter,estimate,se,z,hazard_ratio,hr_lo,hr_hi,transition,term,lr_test_vs_base
q01:intercept,-2.178464742508396,0.028729635459827877,-75.82639694661296,,,,H to C,intercept,1512.4457191000693
q01:age_per_10y,0.12328592780404146,0.016955821280859068,7.271008921473792,1.1312078184785652,1.0942317491615854,1.169433376035291,H to C,age_per_10y,
q01:female,-0.006151067996720556,0.028311426129257775,-0.21726450545576298,0.9938678110933404,0.9402199298017822,1.0505767795580667,H to C,female,
q01:college,-0.12652562781741583,0.028699720068071578,-4.408601460826635,0.881151567262668,0.8329538178147297,0.9321382144888057,H to C,college,
q01:nonwhite,0.028934052489442637,0.03118681071396595,0.9277656748814495,1.0293567087242914,0.9683205532132554,1.094240156608917,H to C,nonwhite,
q02:intercept,-4.217479448704199,0.1085541478500637,-38.85138921204036,,,,H to D,intercept,
q02:age_per_10y,0.7579872185664425,0.04894581376228255,15.486252251271067,2.133976666303373,1.938769364494091,2.348838647713807,H to D,age_per_10y,
q02:female,-0.09771879910431647,0.09775683419717535,-0.9996109213931564,0.9069038900872395,0.7487709169391566,1.0984329749578134,H to D,female,
q02:college,-0.24578231303430154,0.0998200439817189,-2.462254104789958,0.7820924577300926,0.6431163649185071,0.9511009916779285,H to D,college,
q02:nonwhite,0.5128552109951819,0.10162607216940836,5.0464924998799905,1.6700527470590776,1.3684354904914593,2.0381495491306674,H to D,nonwhite,
q04:intercept,-5.415534082965246,0.20366469414166677,-26.59044124357786,,,,H to X,intercept,
q04:age_per_10y,0.8532222750864208,0.10262270607001356,8.314166598806276,2.3471979970877763,1.9195327003631906,2.8701456539346575,H to X,age_per_10y,
q04:female,-0.857601475876361,0.23011701172935067,-3.72680606892731,0.4241782649625231,0.2701897419409855,0.665929058498142,H to X,female,
q04:college,-0.781299225475068,0.2386416291568535,-3.273943562300853,0.4578108252615688,0.2867808858856495,0.7308393342862136,H to X,college,
q04:nonwhite,0.3318501931933979,0.22417779097756826,1.4802991489313213,1.3935440704876634,0.898042147323511,2.1624431349676416,H to X,nonwhite,
q12:intercept,-2.899692212754293,0.02236166083794992,-129.67248871931875,,,,C to D,intercept,
q12:age_per_10y,0.5035786063344557,0.010686114779166362,47.124573967353605,1.6546319647989762,1.620336463775119,1.6896533529560138,C to D,age_per_10y,
q12:female,0.11186289699914033,0.019936058197201605,5.611083991259735,1.1183595196873435,1.0755027459776099,1.162924055706078,C to D,female,
q12:college,-0.290862392077128,0.020477752519426108,-14.203823969510472,0.7476185491756382,0.7182060402130497,0.7782355811233268,C to D,college,
q12:nonwhite,0.29525806917093056,0.021261569728212786,13.886936521866557,1.3434730229218699,1.288637414762253,1.4006420600878062,C to D,nonwhite,
q13:intercept,-6.109336395782497,0.17303555116042799,-35.306827728819115,,,,C to L,intercept,
q13:age_per_10y,-1.803428186673065,0.14314326351242657,-12.598763940550409,0.16473318300149675,0.12443286030991074,0.21808565289118595,C to L,age_per_10y,
q13:female,-0.227940192738771,0.12113793500452293,-1.8816582330734002,0.7961718752708926,0.6279023957660858,1.0095353342281472,C to L,female,
q13:college,-0.907032239270714,0.13425395389282013,-6.756093306531822,0.4037205940101304,0.31031418681430645,0.5252428827091515,C to L,college,
q13:nonwhite,0.8541804240971391,0.12980381389430032,6.580549511378003,2.349448040292844,1.8216905596283264,3.0301008394982807,C to L,nonwhite,
q14:intercept,-4.149408091785115,0.03804145629335782,-109.07595281807382,,,,C to X,intercept,
q14:age_per_10y,0.7299050740458358,0.018902104943978912,38.61501542865681,2.0748836380163858,1.9994196198179675,2.1531958917658636,C to X,age_per_10y,
q14:female,-0.5632604779691299,0.03579353201220612,-15.736375996005362,0.5693496821640911,0.5307756770777884,0.6107270445492627,C to X,female,
q14:college,-0.22172359647296722,0.03639316541541462,-6.09245153429425,0.8011367707635654,0.7459817068803245,0.8603697913096932,C to X,college,
q14:nonwhite,0.10423383312633847,0.04063364660534537,2.565209914303544,1.1098599465966352,1.0248967602188215,1.2018665185325512,C to X,nonwhite,
q20:intercept,-4.573270204125378,0.10505791010794366,-43.53094592712237,,,,D to H,intercept,
q20:age_per_10y,-0.45101053024472126,0.0552732917977488,-8.159646649868794,0.6369841345438457,0.57158265263658,0.7098689678368402,D to H,age_per_10y,
q20:female,-0.36673957487142256,0.10641996373819472,-3.4461539168876607,0.6929900935809289,0.5625233111047343,0.8537162110814128,D to H,female,
q20:college,0.2241533480361575,0.10907131296784936,2.05510818506632,1.2512628834228925,1.010427566679748,1.5495012755605095,D to H,college,
q20:nonwhite,0.18680675482514927,0.11035466702963509,1.6927852700147554,1.2053943259042608,0.9709421477353681,1.496459376401691,D to H,nonwhite,
q21:intercept,-1.1262436488864835,0.023436886679008676,-48.05431985534185,,,,D to C,intercept,
q21:age_per_10y,-0.08610639149831059,0.010697860517500163,-8.048935706111788,0.9174966121880599,0.8984590065545297,0.9369376089898169,D to C,age_per_10y,
q21:female,0.017958454985909034,0.023483619731134837,0.7647226105479608,1.0181206776732492,0.9723208468016127,1.0660778463359766,D to C,female,
q21:college,0.07899456744928594,0.023875771335842275,3.308566091462746,1.0821984429564213,1.0327220214633062,1.1340452179743852,D to C,college,
q21:nonwhite,-0.03448371300309975,0.024310187609563338,-1.4184881481348284,0.9661040744924214,0.9211506529304885,1.0132512849896345,D to C,nonwhite,
