parameter,estimate,se,se_model,se_type,z,hazard_ratio,hr_lo,hr_hi,transition,term,extension,loglik,converged,lr_test_vs_full,df
q01:same_state_prev,-0.041871541616159,0.0343157804943431,0.0343157804943431,observed information,-1.2201832804899049,0.9589929633465716,0.89661342747072,1.0257123923991995,H to C,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q02:same_state_prev,-0.7480592963988034,0.1115712514170296,0.1115712514170296,observed information,-6.704767463821989,0.4732841663310003,0.3803212650202332,0.5889702278091477,H to D,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q05:same_state_prev,0.1342501975212106,0.2846131193881983,0.2846131193881983,observed information,0.4716936373481084,1.143678929484386,0.6546912578855589,1.9978905751254,H to X,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q12:same_state_prev,-0.9025822932844444,0.0237643511789252,0.0237643511789252,observed information,-37.98051486820623,0.4055211320242849,0.3870658592095292,0.42485635094269,C to D,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q13:same_state_prev,-2.9444612771514356,0.7303516484788318,0.7303516484788318,observed information,-4.031566551926221,0.0526304053822949,0.0125761827950647,0.2202543980031608,C to L,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q14:same_state_prev,-0.3864568222270871,0.1258696689720994,0.1258696689720994,observed information,-3.070293466114938,0.679460062313554,0.5309107380814337,0.8695736272870904,C to N,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q15:same_state_prev,-0.2604975679121607,0.0444095509234843,0.0444095509234843,observed information,-5.865800542792838,0.7706680307061174,0.7064235531603992,0.8407551119938222,C to X,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q20:same_state_prev,-1.297832904688121,0.1442906912737892,0.1442906912737892,observed information,-8.994571259108492,0.2731230358133744,0.2058427688597182,0.36239404038891,D to H,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q21:same_state_prev,-0.7399475103779074,0.0270306464821572,0.0270306464821572,observed information,-27.374391909802902,0.4771389597074294,0.4525180724684373,0.5030994356287662,D to C,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q23:same_state_prev,-0.1056970936155044,0.0376341662328447,0.0376341662328447,observed information,-2.808540860492311,0.8996971308104955,0.8357213294612633,0.9685703818406096,D to L,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q24:same_state_prev,-0.0973728749027048,0.1239047911634981,0.1239047911634981,observed information,-0.7858685204046447,0.9072176643592847,0.7116092918540162,1.156595199004737,D to N,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q25:same_state_prev,-0.025075763062603,0.0753125908699656,0.0753125908699656,observed information,-0.3329557883076779,0.9752360223614994,0.8413997195260718,1.1303608466225643,D to X,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q32:same_state_prev,-0.8967412532808311,0.0485189791523666,0.0485189791523666,observed information,-18.48227784151739,0.4078967284013219,0.3708941925181623,0.4485908498886899,L to D,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q34:same_state_prev,-0.3068978813956193,0.1029771476386885,0.1029771476386885,observed information,-2.9802523028936347,0.7357257283558196,0.6012568343241659,0.90026809919447,L to N,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q35:same_state_prev,-0.0016809669431956,0.048735193123213,0.048735193123213,observed information,-0.0344918494309814,0.9983204450904316,0.9073727478185944,1.0983840031360634,L to X,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q42:same_state_prev,-1.5330772605109078,0.2224742991995778,0.2224742991995778,observed information,-6.891030856268078,0.2158703548526742,0.1395786709885248,0.3338619702723106,N to D,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q43:same_state_prev,-0.028441288072153,0.2623883009021311,0.2623883009021311,observed information,-0.1083938878919813,0.9719593580786552,0.5811639605832523,1.6255395341592958,N to L,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
q45:same_state_prev,0.0340052934117566,0.0424768632589406,0.0424768632589406,observed information,0.8005603710532728,1.034590083224933,0.9519437247688388,1.1244116773470978,N to X,same_state_prev,duration,-165141.38922615175,True,3046.3374397877487,18
