parameter,estimate,se,se_model,se_type,z,hazard_ratio,hr_lo,hr_hi,transition,term,extension,loglik,lr_test_vs_full,df
q01:low_income,0.009860695335112706,0.0368435087127084,0.0368435087127084,observed information,0.26763724953566825,1.0099094721840784,0.9395515596591612,1.0855361065837803,H to C,low_income,income,-165769.7555372503,1789.604817590618,24
q01:high_income,-0.06953374231731163,0.03408886204896224,0.03408886204896224,observed information,-2.0397789230229946,0.9328286570529731,0.8725390129404976,0.9972841219864104,H to C,high_income,income,-165769.7555372503,1789.604817590618,24
q02:low_income,0.5443916446157054,0.12481778610532748,0.12481778610532748,observed information,4.361490950947652,1.723559526652079,1.3495197438332536,2.2012700855158385,H to D,low_income,income,-165769.7555372503,1789.604817590618,24
q02:high_income,-0.12382217374509183,0.1417316497149553,0.1417316497149553,observed information,-0.873638132302261,0.8835369429795412,0.6692375449686833,1.1664580618323837,H to D,high_income,income,-165769.7555372503,1789.604817590618,24
q05:low_income,0.3162954904505881,0.2422993178316792,0.2422993178316792,observed information,1.30539158459502,1.3720356191558944,0.8533280919005862,2.2060468395452872,H to X,low_income,income,-165769.7555372503,1789.604817590618,24
q05:high_income,-0.48902675408147117,0.291044718562486,0.291044718562486,observed information,-1.6802461027186768,0.6132229205584823,0.34663795451339313,1.0848273981600174,H to X,high_income,income,-165769.7555372503,1789.604817590618,24
q12:low_income,0.3562435297254492,0.025244366496417068,0.025244366496417068,observed information,14.111803113617878,1.4279552554749253,1.3590209779895992,1.5003861196129853,C to D,low_income,income,-165769.7555372503,1789.604817590618,24
q12:high_income,-0.21010214141613306,0.02925855078242372,0.02925855078242372,observed information,-7.180879975174513,0.8105014559756242,0.7653294372310836,0.85833966156493,C to D,high_income,income,-165769.7555372503,1789.604817590618,24
q13:low_income,2.5402680797367676,1.2813213518230648,1.2813213518230648,observed information,1.9825378513535832,12.683070589354097,1.0292992492424238,156.2813532536179,C to L,low_income,income,-165769.7555372503,1789.604817590618,24
q13:high_income,-5.180145564812349,7.1794727790970985,7.1794727790970985,observed information,-0.7215217223044911,0.005627187234329794,4.355126361284044e-09,7270.796193584649,C to L,high_income,income,-165769.7555372503,1789.604817590618,24
q14:low_income,0.5097569876785802,0.14578493946293444,0.14578493946293444,observed information,3.496636823779627,1.664886557834656,1.251094172377276,2.215538455583709,C to N,low_income,income,-165769.7555372503,1789.604817590618,24
q14:high_income,0.17807654125374497,0.14021562649735345,0.14021562649735345,observed information,1.2700192246910949,1.1949167781629637,0.9077864759493466,1.5728655852051143,C to N,high_income,income,-165769.7555372503,1789.604817590618,24
q15:low_income,0.3445132487706164,0.043550814453637135,0.043550814453637135,observed information,7.910604040192513,1.4113027990803453,1.2958328974205737,1.537062066148155,C to X,low_income,income,-165769.7555372503,1789.604817590618,24
q15:high_income,-0.3148457181593121,0.049328037153236554,0.049328037153236554,observed information,-6.382693014547695,0.7299014761258801,0.6626365222838789,0.8039945685675647,C to X,high_income,income,-165769.7555372503,1789.604817590618,24
q20:low_income,-0.1619059515837135,0.12802918466746716,0.12802918466746716,observed information,-1.2646019109176956,0.8505211909499034,0.6617660703590935,1.0931148160290414,D to H,low_income,income,-165769.7555372503,1789.604817590618,24
q20:high_income,0.3041365562496021,0.15448101056526314,0.15448101056526314,observed information,1.9687633783384297,1.3554541391860122,1.0013546923094476,1.8347703741210695,D to H,high_income,income,-165769.7555372503,1789.604817590618,24
q21:low_income,-0.13734872280382432,0.027454783435749794,0.027454783435749794,observed information,-5.002724684580026,0.8716662032429394,0.8260003362838854,0.9198567318922102,D to C,low_income,income,-165769.7555372503,1789.604817590618,24
q21:high_income,0.11820430273376505,0.034334233080831486,0.034334233080831486,observed information,3.4427535473264297,1.1254740253006705,1.0522273529056072,1.2038194769682309,D to C,high_income,income,-165769.7555372503,1789.604817590618,24
