extension,sex,level,e65_from_C
income,male,low,13.93280901578242
income,male,middle,16.662687146636042
income,male,high,18.58843463526375
income,female,low,17.496017309897706
income,female,middle,20.30807277118919
income,female,high,22.201690711067716
duration,male,new to state,14.650357340445026
duration,male,in state at previous interview,16.534899476545807
duration,female,new to state,17.54275309989643
duration,female,in state at previous interview,19.41278342451707
period,male,1998,15.808751691796456
period,male,2010,16.473959982744727
period,male,2022,17.035960148608478
period,female,1998,18.78123584839612
period,female,2010,19.439608728580563
period,female,2022,19.947834700156907
