cell,n,weighted_millions,share_in_ma,medicare_total_mean,medicare_total_se,pamtcare_mean,pamtcare_se,pamtmadv_mean,pamtmadv_se,pamtcaid_mean,pamtcaid_se,pamtalpr_mean,pamtalpr_se,pamtoop_mean,pamtoop_se,pamtdisc_mean,pamtdisc_se,pamtoth_mean,pamtoth_se,pamttot_mean,pamttot_se,part_a_share_of_total,part_a_share_of_medicare,n_ffs,medicare_ffs_only_mean,medicare_ffs_only_se
All,29144,59.05179852656905,0.4424188783560671,11801.645626752661,278.24911794964794,8704.636968865128,249.29133272581868,3097.008657887534,115.95067798391298,571.8058096900496,40.81254857202755,1356.071110262111,55.779075316988674,2717.410434844062,45.53859612893293,424.5988677408201,20.197371102004634,534.6070789309629,28.061224070554236,17406.13892822067,330.01978821580434,0.17581025388519428,0.25930093148996525,15219,11134.80768042988,385.96343203142385
65-74,10346,30.81781431356725,0.4242680509270112,9920.297367733616,356.8200646927601,7251.772703628762,325.9979123241134,2668.5246641048534,164.08653877825066,315.40519365642444,42.46338768626135,1372.8032500969746,72.78176910085106,2510.250816071138,59.512513060347864,398.56349681197634,27.534959986354917,456.946098174265,36.827753757469296,14974.266222544396,435.7955693767788,0.1615327718384393,0.24382683698995988,5525,9094.719669497323,470.7218660780463
75 and over,14033,20.93179080490617,0.4633047523898316,12342.598863352965,348.64229950173717,8837.463565616717,287.9332823941563,3505.135297736247,155.16156139780892,386.0863101366211,40.597460568813354,1310.1441373882928,69.95418173851836,3227.735262995529,69.08264518669345,463.1003213084181,27.53060955511518,600.7998030324591,36.76084688899753,18330.464698214284,420.57532689893566,0.1862420914985797,0.27659523908475264,7128,12462.682686341423,511.9712413481436
"65-74, 0-1 chronic conditions",2239,7.079658218079375,0.34880982032531416,4418.041950661604,493.3071426391866,2795.4426504080516,307.49683886766593,1622.5993002535515,384.0099254679161,41.715503835689326,11.451351226618195,826.4324947010928,77.95634620839297,1623.8491408067312,64.62326683724243,238.60591529736118,30.092224364066265,114.93003067385273,25.923955872529895,7263.575035976331,535.1074112507232,0.13359651089617575,0.21964216100159167,1346,3275.2969627403104,310.1026848255418
"65-74, 2-3 chronic conditions",4282,12.817355970106725,0.4217694824804973,8216.570585712865,444.931134631535,6087.2069842126275,419.1966286904646,2129.363601500237,129.69831521104751,117.91684463096912,19.152525527044673,1409.4682341322775,116.40045488227342,2389.232299640374,88.6318264053559,372.4236373092423,43.939878210338684,403.0376478366425,55.21169187635651,12908.649249262373,536.9936670435627,0.16142971958358687,0.2536142794336515,2314,8152.7802390077,658.7074031055358
"65-74, 4+ chronic conditions",3824,10.91247714510865,0.4764811910451731,15498.675773683803,720.1926169703361,11516.276793986497,658.9211693636396,3982.3989796973065,312.07010026419164,725.1685299636025,112.70276931615568,1685.170800589206,110.85427504489908,3228.8769563197206,106.66198938497041,533.3455547565136,49.882579878381435,742.5021431210411,75.18982793527249,22413.739758433887,847.2248332985015,0.1674801280728634,0.24220495093575997,1864,15026.133560583448,1022.6967869351478
"75 and over, 0-1 chronic conditions",1791,2.5788541809425625,0.43865904085245194,5976.16724037024,405.45190660371225,4024.2082548888284,360.8855783728756,1951.9589854814105,214.62909531253243,92.83019942213886,48.17925394487722,808.0373791920993,73.73050146539916,2444.5521439589584,143.61624147360484,252.14270352144115,35.28945865363603,144.47115429736374,23.531916346581216,9718.20082076224,496.0833327867389,0.16659946466575015,0.2709172934981215,952,5938.884953290683,605.5752974523522
"75 and over, 2-3 chronic conditions",5402,7.86802594284358,0.44898439000100154,9648.08364575112,401.78497652990904,6984.610968773812,394.33500939877837,2663.4726769773088,164.31344320736903,121.9968332560849,27.805629290078727,1119.3546111510223,68.23142347797089,2868.1330502066025,81.0939302354759,390.01496183310445,32.198183257557034,427.40776174533255,33.523818637495125,14574.990863943267,462.7876547829018,0.16661217888822036,0.2516946446859334,2834,9701.603945543276,549.6163188181933
"75 and over, 4+ chronic conditions",6840,10.48491068112003,0.480112781030843,15930.480113675027,542.2048019658359,11411.732121937544,489.8220118854369,4518.747991737481,252.87935122847284,656.3916745527818,70.02658952373383,1576.812794828183,108.00744445174263,3690.216513220192,98.0329971213782,569.831458373851,44.273753949214544,843.1536198732374,68.79142451951934,23266.88617452327,646.192426881011,0.19748765046048275,0.28843591978083083,3342,16391.221617161074,837.3605315241384
"65+, 0-1 chronic conditions, Income $25,000 or less",824,1.73057884732565,0.4018924355800812,5515.518738859073,835.3842005812671,3936.964537694618,630.9696564974159,1578.5542011644548,504.0523539964302,264.72068791761404,82.00082923122666,256.7485314279719,40.63124955742664,817.5750737692256,68.77001707800426,137.8039786738733,39.016146376612866,144.3547194140665,70.41835911297262,7136.721730061825,916.7584779105392,0.13738836101871021,0.17777158377357494,434,5594.624821021335,1030.1773578692191
