age,chronic,n,oop_mean,oop_zero_share,oop_p50,oop_p90,oop_p95,oop_p99
65 and over,0-1 chronic conditions,4030,1842.9795082539545,0.06286850060236521,773.833986538234,4426.163939245664,7140.381184843339,15783.193440134582
65 and over,2-3 chronic conditions,9684,2571.3900932629012,0.016111110016810048,1252.9236944622926,6159.837222132283,9285.02236471801,19721.937665564044
65 and over,4+ chronic conditions,10664,3454.9374496402966,0.012898500348585275,1793.9239399646754,8092.598382436567,11612.932854608143,24546.008511695985
65 and over,All,24379,2800.460457563339,0.023506940156656553,1322.3402738963382,6814.723098573888,10138.503861779654,21301.668055344424
65-74,0-1 chronic conditions,2239,1623.8491408067312,0.06794209211754028,706.0576449377355,4128.449357642805,6498.259390852282,12936.846581674457
65-74,2-3 chronic conditions,4282,2389.232299640374,0.017693349712853197,1154.6329670868674,5747.128586339929,8562.179159222484,17697.956626947875
65-74,4+ chronic conditions,3824,3228.8769563197206,0.013818936469075975,1611.9811632665342,7738.6480734726265,11092.558178379906,23288.281700736203
65-74,All,10346,2510.250816071138,0.027860106237228833,1164.3707529981984,6206.161086279836,9138.389343240191,19208.605270574022
75 and over,0-1 chronic conditions,1791,2444.5521439589584,0.048940107856848034,983.2954412311154,5951.6585597516205,9154.790840117616,22371.107872598153
75 and over,2-3 chronic conditions,5402,2868.1330502066025,0.013533572835115257,1411.3840138831686,6841.032644707424,10409.223018690303,20565.875458232185
75 and over,4+ chronic conditions,6840,3690.216513220192,0.011940529562389295,1955.3705446946956,8651.753961467986,12227.98815005845,25736.97332390175
75 and over,All,14033,3227.735262995529,0.017097786482344494,1601.952741859857,7670.873003753409,11297.381817265223,24062.167410377107
