state,age_band,sex,n,oop_mean,oop_zero_share,oop_p50,oop_p90,oop_p95,oop_p99
C,65-74,female,28618,2085.311713428623,0.0893244782159375,1005.4530963773069,4684.948128340407,7007.445475995712,15605.575159974704
C,65-74,male,22432,1972.220307268615,0.11424965630508538,909.0,4489.1539593856305,7019.184900258129,15699.46666046673
C,75+,female,24613,2315.631928673534,0.09070996322420363,1046.34,4990.6081892509055,7486.445892382345,19125.67985326764
C,75+,male,17988,2173.735595099944,0.10821103737777618,1030.1143100404204,5020.637049754552,7508.1688719424465,16069.76538703667
D,65-74,female,4222,2813.512646589666,0.1507004308264986,1093.02,6156.052329951347,9276.605249043369,23504.511159915568
D,65-74,male,2917,2622.7644235140956,0.17466363216940378,1016.5702821447333,6823.699984641638,9191.347354959515,22778.74143324173
D,75+,female,6822,3143.030414250442,0.11312859553532782,1261.8283372621424,6655.654841806723,10000.063016902523,30663.414391716375
D,75+,male,4038,2964.8919269589655,0.1288625996795561,1292.1347812369702,6453.7574,10628.818387292815,24592.22426065252
H,65-74,female,3844,1232.58298636384,0.14237000695832425,516.9562229500243,3034.9546432193565,5059.065613166437,9384.073165770491
H,65-74,male,3412,1197.7456336978662,0.22040543089609174,373.8432010211524,2766.073823920266,4591.586410873606,11467.148212757025
H,75+,female,1877,1227.4771653347184,0.2102610168866779,450.41252242292126,3092.611373997048,4891.861766394682,11921.78228571429
H,75+,male,1575,1425.4587130107489,0.22604854816954245,434.5944189525279,3197.6653276801408,4856.101043631039,16384.6451688055
L,65-74,female,1901,5073.398622070386,0.24368547236496058,991.1773169837915,10930.399498232411,19605.586039273792,83498.83806252328
L,65-74,male,1123,4929.45038228047,0.3343441767353077,634.8459415609141,10417.38825752365,24931.241617913987,62414.026152730505
L,75+,female,6177,10829.445926405748,0.21325544045257316,1763.0571876400793,33611.76045764076,56427.202298309174,122599.9628852149
L,75+,male,2601,9227.640881673393,0.21017951677961727,1763.5941673900456,25518.7001057243,49952.96894288895,101341.33844423076
