state,age_band,n,medicaid_pct,oop_mean_all,oop_p90_all,oop_p99_all,oop_mean_no_medicaid,oop_p90_no_medicaid,oop_p99_no_medicaid,oop_mean_medicaid,oop_p90_medicaid,oop_p99_medicaid
C,65-74,34513,6.118060738837004,1869.598297074624,4370.471435841213,14231.838362562055,1937.1218574344005,4459.098493512852,14483.667237971613,833.4459829674837,2194.5700355191257,10186.397301850042
C,75+,30478,6.100271573135528,2026.3160718129882,4687.975851876603,15360.544534537155,2096.026473595089,4809.76,15608.87105121132,953.2838768705034,2254.9132906942705,11869.189595564687
D,65-74,4781,17.490629860138935,2420.5371293170897,6076.791077163462,18645.392173614982,2719.6853131105327,6624.9360243137235,20789.087773623844,1009.3513446626602,2088.2986276138286,15234.664992721877
D,75+,7449,11.351044352676016,2878.406949646773,6302.4,26280.718642891126,3060.609313348776,6598.896316307124,26814.31624658346,1455.4498404316532,3153.505804432757,17443.515997177838
H,65-74,3820,2.846621616073405,1227.3280338599095,3010.223615591193,9540.878629333332,1254.4910376843081,3112.776874002207,10189.757397331789,300.27205504808563,843.4941183148991,3186.407794921308
H,75+,1821,5.3695509031830495,1199.6992053366343,2938.5295095865786,13084.503680364991,1229.8501180953735,3011.429800456621,13154.078458204569,668.3336467482775,1817.8567182273882,7965.848274939886
L,65-74,1702,30.262520848529835,2879.288077002864,7029.825471781733,26348.41472595654,3700.807681965768,8633.17537470684,27698.610801046216,986.1640173656544,2687.479298707697,11482.646327420644
L,75+,3569,22.05917895520157,3759.3722622905548,8443.972979714617,48161.10618999997,4501.923007252397,9373.033873007897,51423.68386100807,1135.7472013901931,2659.3155955563893,16946.045415907996
N,65-74,386,49.97591673283735,10399.493619129915,33776.717512643925,86867.91853279521,16046.248066025917,53519.06361317758,102868.01575124972,4747.296859022393,16038.66885828404,50046.83966240859
N,75+,2496,38.449988971427615,18331.218834317464,55336.88422606156,148621.75471069556,23587.92512718084,66610.17190309954,152487.42365938463,9916.383382995533,27439.437888646295,96943.66582405363
