sex,entry_state,n,life_expectancy,years_in_H,years_in_C,years_in_D,years_in_L,ever_ltc_pct,pv_medicare_mean,pv_medicare_analytic,pv_oop_mean,pv_oop_analytic,pv_oop_median,pv_oop_sd,mc_se_oop,pv_eol_increment_mean,pv_premium_mean,pv_premium_analytic,pv_household_mean
male,H,100000,20.430915,7.402986566389194,9.625969495931551,2.0406033521582527,1.3613555855210004,43.3,140294.55662481213,140320.13818209583,35373.03725399057,35401.39257563198,28827.287495089946,27967.270050140378,88.4402732954551,2690.6285208880586,31992.515468451023,31989.301990314147,67365.5527224416
male,C,100000,18.43946,0.08148128005786909,14.652094438242175,2.2729665049289043,1.4329177767710528,43.543,157627.18053345234,157390.4056636675,38204.81020856141,38127.7366366916,31997.36188188268,29843.98441156603,94.3749651951086,2766.2363033383153,29399.499759374456,29355.577554128497,67604.30996793586
male,D,100000,15.971505,0.20511046752913234,9.218160678604344,4.43885309906638,2.109380754800144,55.301,147323.4129842821,147357.1668388001,38046.0575231809,37839.03643338998,30803.218694852105,33034.17521219119,104.46323429560023,2581.5406767901904,25978.790744876827,25990.98007424377,64024.84826805773
male,L,100000,12.479795,0.11868551154762078,5.339819232399286,2.55533444620959,4.465955809843503,100.0,126203.55036635755,126235.0350765542,38065.07807960827,38131.47078605193,27543.134058231604,39549.12620056403,125.06531826322356,2030.1393813529205,20917.2746081521,20924.61790397946,58982.35268776037
male,Population mix,100000,18.333155,1.1523182327186825,13.153549133248662,2.451707367247016,1.5755802667856431,46.403,153316.26376516774,153079.3706451897,37660.261144329015,37703.03825390582,31282.454390713472,29669.22017606964,93.82231215740197,2663.2817910962917,29224.224066390656,29193.063059276603,66884.48521071968
female,H,100000,22.956455,7.646099971439911,10.619217908294363,2.5328057267900785,2.1583313934756463,56.881,157174.06363118562,157196.29169381646,44735.76847046049,44575.376189146875,35152.17393387542,36964.81300868186,116.89300238965612,3154.6642997920208,34854.51926286378,34863.128349792336,79590.28773332428
female,C,100000,20.98221,0.07556126941595376,15.571355013795465,2.922685677644542,2.4126080391440334,58.482,176904.9056881315,177010.49936395796,49449.828068960305,49349.27266651827,39377.92115650318,40820.825868967004,129.08678571505783,3170.3879580878283,32441.6657116437,32456.096141711358,81891.49378060401
female,D,100000,18.80505,0.16505424691254425,10.191456830165459,5.145476528809261,3.303062394112738,68.01,170145.80240419594,170404.80053183896,50377.681006884595,50600.75519821191,39202.783076972046,45844.451651575306,144.97288530044594,2996.8599485640357,29553.78973357541,29591.375342934887,79931.47074046
female,L,100000,15.66905,0.10212263149366313,6.34320315164848,3.2141397510891325,6.009584465768725,100.0,153454.02075481837,153511.52257807698,51752.39984672989,52147.2523561828,38550.42532609047,50204.54624175641,158.76071501919665,2549.433221779194,25169.549164118773,25178.609856106057,76921.94901084865
female,Population mix,100000,20.844525,1.1589124476901194,13.997890423895099,3.0916832426597503,2.596038885755034,60.62800000000001,172480.95251091264,172590.26289567782,48974.649006834305,48889.34026317994,38684.13898414082,41614.74608299388,131.5973818718311,3071.665152929315,32220.665122119455,32244.166807694462,81195.31412895376
