sex,entry_state,pv_medicare_lo,pv_medicare_hi,pv_oop_lo,pv_oop_hi,pv_premium_lo,pv_premium_hi
male,H,138892.4814664766,141466.01345647225,35083.4171118141,35690.559301332556,31704.871738083642,32219.67775336866
male,C,156218.68648484716,158574.82735902572,37808.9078381079,38408.737411160604,29144.822325519403,29565.669292930517
male,D,145577.96937235116,148871.84604324124,37434.794414827964,38255.97627953343,25680.889161877545,26263.922672091277
male,L,123775.41896497631,128519.5325724751,37306.81096761935,38772.946764114124,20505.62557160647,21329.672862406598
male,Population mix,151948.4810727711,154223.79837926247,37398.27959057482,38002.114107914145,28975.429978460295,29385.572435664366
female,H,156126.33142094602,158443.1356637275,44248.76418085297,44977.96215002175,34642.71726551204,35065.54237066235
female,C,176074.35328061364,178148.75294530575,49047.66903014689,49796.648514106746,32297.36235451754,32645.355936207266
female,D,169086.76340499782,171684.27694109376,50194.50513412197,51197.75667768294,29327.774460426466,29849.298400621996
female,L,151444.05082120205,155696.93937184956,51387.193330325514,52989.69058478673,24815.29662202379,25567.943331843784
female,Population mix,171642.8182026185,173609.3567412322,48579.92315493459,49354.441614771284,32074.778981098883,32436.086410456053
