sex,entry_state,level,var,cvar,cvar_over_mean,share_of_tail_ever_ltc_pct,share_of_all_ever_ltc_pct,mean_death_age_in_tail,mean_death_age_all,eol_share_of_tail_pv_pct
male,H,0.9,66600.86392403509,98595.68353477234,2.787311782893321,70.26,43.3,88.9903,85.430915,19.26886242254226
male,H,0.95,86636.85662582787,121864.98245374794,3.4451376504289257,72.94,43.3,88.388,85.430915,21.412298496999885
male,H,0.99,143643.27781875027,185780.569019198,5.252038938167216,66.60000000000001,43.3,87.32,85.430915,21.966081645668957
male,C,0.9,72107.70950521379,104288.56628208651,2.7297234487691875,71.58,43.543,88.2865,83.43946,17.82522820017362
male,C,0.95,92141.03517812605,127812.71571349936,3.3454613441544465,75.03999999999999,43.543,87.9418,83.43946,19.934735461543383
male,C,0.99,146630.0891339522,193398.45920177357,5.062149455683841,74.3,43.543,86.7655,83.43946,21.33292167455876
male,D,0.9,77015.45584827189,112402.9610080138,2.954391816800685,81.85,55.301,86.67615,80.971505,16.032248023596722
male,D,0.95,99726.56722816815,137761.77250016178,3.6209211011213336,84.6,55.301,86.1982,80.971505,18.079978868945165
male,D,0.99,159173.99176996475,203937.74381895436,5.360285850766485,82.8,55.301,85.783,80.971505,19.913304517022336
male,L,0.9,87288.78100822779,129152.58158818832,3.3929414598357615,100.0,100.0,84.55805,77.479795,11.533053200161692
male,L,0.95,116009.67283490673,158273.64788864765,4.15797512769154,100.0,100.0,84.1458,77.479795,12.611014389639545
male,L,0.99,184877.98961991977,225998.0039515463,5.937148046272235,100.0,100.0,83.853,77.479795,13.840985864091804
male,Population mix,0.9,71793.99241410042,104244.68789464989,2.7680288114610523,74.63,46.403,87.98835,83.333155,17.92904674582211
male,Population mix,0.95,92761.47863102145,127541.48266349573,3.386632986285101,77.8,46.403,87.4258,83.333155,19.82904762721809
male,Population mix,0.99,148529.27172474877,188050.73395390762,4.993346520705813,72.89999999999999,46.403,86.469,83.333155,23.052394310530424
female,H,0.9,85228.91044368324,127268.9696558115,2.844904066862036,83.67999999999999,56.881,90.66305,87.956455,18.046480299416718
female,H,0.95,110499.29509444477,158290.81871399184,3.5383502759880603,85.88,56.881,90.3587,87.956455,19.133557415103855
female,H,0.99,181042.05323658712,253353.497126312,5.6633317318244805,81.6,56.881,90.7475,87.956455,22.11257729337675
female,C,0.9,94541.9179997095,140094.78844897027,2.8330692728314637,84.61,58.482,89.8564,85.98221,15.590813225644467
female,C,0.95,121535.30688926051,173994.9411964645,3.518615695767833,85.9,58.482,89.6302,85.98221,16.564256651712608
female,C,0.99,200696.76829141984,277557.6610259522,5.612914581601455,80.10000000000001,58.482,89.64,85.98221,18.35023453186806
female,D,0.9,102187.14465167852,150789.29965234586,2.9931766734506704,90.38000000000001,68.01,88.656,83.80505,13.002904001946417
female,D,0.95,131855.17915233105,186309.34461717634,3.698251703799454,91.24,68.01,88.6334,83.80505,13.36189030590758
female,D,0.99,208306.48199368466,296704.53650253324,5.889602906929871,88.5,68.01,88.888,83.80505,15.945877220166441
female,L,0.9,115398.5435530902,163447.0529498912,3.1582506982083274,100.0,100.0,87.5089,80.66905,10.22065277454758
female,L,0.95,146019.69875319744,197907.97185096357,3.8241312951107314,100.0,100.0,88.2419,80.66905,10.955812131043313
female,L,0.99,222409.11962488614,294385.51357307064,5.688345167469024,100.0,100.0,88.6255,80.66905,13.999441028310075
female,Population mix,0.9,94710.84557253213,140923.96110122817,2.8774879240392828,86.77,60.62800000000001,89.7054,85.844525,15.24522312001946
female,Population mix,0.95,122555.39071905639,174866.26898456865,3.5705466507818455,88.34,60.62800000000001,89.4671,85.844525,16.141371369106462
female,Population mix,0.99,198738.4754668502,282007.8782224016,5.758241946421056,84.0,60.62800000000001,89.3,85.844525,18.44716937865811
