sex,entry_state,scenario,pv_oop_mean,pv_oop_median,var95,cvar95,var99,cvar99,mean_change_vs_s0,cvar95_change_vs_s0
male,H,S0 baseline,35373.03725294335,28827.287540346544,86636.85858534627,121864.9825042249,143643.28144150748,185780.56880099396,0.0,0.0
male,H,"S1 Part A payable 89% from 2033, shift 0%",35373.03725294335,28827.287540346544,86636.85858534627,121864.9825042249,143643.28144150748,185780.56880099396,0.0,0.0
male,H,"S1 Part A payable 89% from 2033, shift 25%",35831.54438136692,29357.492602465674,87258.62791047918,122459.76751283131,144092.65500100254,186340.48477212616,458.50712842356734,594.7850086064136
male,H,"S1 Part A payable 89% from 2033, shift 50%",36290.05146379099,29880.33961664678,87863.88739017489,123055.95366556187,144388.35848669327,186902.10248979295,917.0142108476357,1190.9711613369727
male,H,"S1 Part A payable 89% from 2033, shift 100%",37207.06562141378,30916.310889267894,89037.04210963218,124252.4073383227,145334.70120385426,188026.57119210606,1834.0283684704264,2387.424834097794
male,H,S2 shortfall on long-term-care state,37207.06554261243,30275.025296454056,91297.9381554563,128115.26853289214,151530.4456669129,192458.21209360965,1834.028289669077,6250.286028667237
male,H,S3 real growth 1.7% and shift 50%,45498.466787300626,36692.73931864159,114764.21011529208,160708.5314931536,189201.85854059045,239136.2841689833,10125.429534357274,38843.5489889287
male,C,S0 baseline,38204.81022540202,31997.361806417335,92141.0344559625,127812.71588612924,146630.08578348532,193398.4594527371,0.0,0.0
male,C,"S1 Part A payable 89% from 2033, shift 0%",38204.81022540202,31997.361806417335,92141.0344559625,127812.71588612924,146630.08578348532,193398.4594527371,0.0,0.0
male,C,"S1 Part A payable 89% from 2033, shift 25%",38649.477128152736,32510.87047870135,92709.99386918395,128429.32368229274,147224.53938350404,193986.1685589176,444.66690275071596,616.6077961635019
male,C,"S1 Part A payable 89% from 2033, shift 50%",39094.14398401307,33018.44828067551,93298.23260261049,129047.47521803205,147810.7325044084,194574.84170619253,889.3337586110501,1234.7593319028092
male,C,"S1 Part A payable 89% from 2033, shift 100%",39983.47770485464,34059.19972227476,94584.47155686448,130288.39486212845,148873.0805664307,195756.79796369348,1778.6674794526189,2475.67897599921
male,C,S2 shortfall on long-term-care state,39983.4776475,33427.06176658537,96719.62272019715,133678.74324768333,153668.0700895097,200564.1503186909,1778.667422097984,5866.027361554094
male,C,S3 real growth 1.7% and shift 50%,47760.59176808828,39283.46835183873,119632.58098460113,165789.40893371042,189466.70419990932,247169.29453617267,9555.781542686258,37976.69304758118
male,D,S0 baseline,38046.05754149968,30803.218699168123,99726.56939241292,137761.7727151544,159173.9961879713,203937.74394410418,0.0,0.0
male,D,"S1 Part A payable 89% from 2033, shift 0%",38046.05754149968,30803.218699168123,99726.56939241292,137761.7727151544,159173.9961879713,203937.74394410418,0.0,0.0
male,D,"S1 Part A payable 89% from 2033, shift 25%",38421.42786916212,31247.949144415994,100381.00042227392,138333.52661144044,159807.86529160241,204503.1267635972,375.37032766244374,571.7538962860417
male,D,"S1 Part A payable 89% from 2033, shift 50%",38796.798176619064,31713.07754391608,100891.88229690274,138907.1306436853,160413.05887835802,205071.2927944767,750.7406351193858,1145.3579285308952
male,D,"S1 Part A payable 89% from 2033, shift 100%",39547.538776014255,32600.793321631216,102106.67963998644,140060.24622964262,161724.9637834165,206213.2165223396,1501.4812345145765,2298.473514488229
male,D,S2 shortfall on long-term-care state,39547.53873772835,32046.72810284195,104010.34743287467,142796.0968700809,164902.70898231197,209746.29186809604,1501.4811962286694,5034.324154926493
male,D,S3 real growth 1.7% and shift 50%,46464.2762430608,36916.97074931158,125616.96119459138,173265.30071547575,201002.69897313727,255727.3401117477,8418.21870156112,35503.528000321356
male,L,S0 baseline,38065.078081877225,27543.13402028544,116009.67296210697,158273.64833026764,184877.99456788655,225998.00402245307,0.0,0.0
male,L,"S1 Part A payable 89% from 2033, shift 0%",38065.078081877225,27543.13402028544,116009.67296210697,158273.64833026764,184877.99456788655,225998.00402245307,0.0,0.0
male,L,"S1 Part A payable 89% from 2033, shift 25%",38346.980532079,27889.2242336946,116584.99169427688,158783.97091440138,185424.27143478536,226506.62843468177,281.902450201771,510.32258413374075
male,L,"S1 Part A payable 89% from 2033, shift 50%",38628.88297816899,28230.234844931387,117072.94846872045,159296.12963637765,185998.30890487487,227017.08083730072,563.8048962917674,1022.481306110014
male,L,"S1 Part A payable 89% from 2033, shift 100%",39192.68784945621,28894.39385002107,118177.23653894021,160326.51134558182,187031.68658603,228043.3983087165,1127.609767578986,2052.8630153141858
male,L,S2 shortfall on long-term-care state,39192.68780172787,28470.980957304157,119245.55174366565,161968.87435855373,189474.478529708,230294.43289371257,1127.6097198506468,3695.2260282860952
male,L,S3 real growth 1.7% and shift 50%,44696.52847884014,31725.949625781963,138498.1900593945,187266.24693513336,218182.4100460174,266811.6448920297,6631.450396962915,28992.59860486572
male,Population mix,S0 baseline,37660.26115641364,31282.453746528725,92761.47911989116,127541.48277787666,148529.27150471593,188050.73399397128,0.0,0.0
male,Population mix,"S1 Part A payable 89% from 2033, shift 0%",37660.26115641364,31282.453746528725,92761.47911989116,127541.48277787666,148529.27150471593,188050.73399397128,0.0,0.0
male,Population mix,"S1 Part A payable 89% from 2033, shift 25%",38096.1044917375,31812.79789826607,93415.78026150819,128139.4240702083,149068.47355415107,188622.0263638186,435.8433353238579,597.9412923316413
male,Population mix,"S1 Part A payable 89% from 2033, shift 50%",38531.94778724802,32323.929770130017,94123.38212351607,128739.24191256629,149630.93450511774,189194.6093697279,871.6866308343815,1197.7591346896224
