sex,income_tertile,scenario,median_assets_at_65,pct_no_positive_assets,pct_exhausting_assets,median_age_at_exhaustion
male,low,S0 baseline,66191.6,18.956999999999997,32.16564046247054,70.0
male,low,S1 shift 50%,66191.6,18.956999999999997,32.55062127512555,70.0
male,middle,S0 baseline,304269.6,4.324,11.345583009323132,75.0
male,middle,S1 shift 50%,304269.6,4.324,11.577616121075296,75.0
male,high,S0 baseline,817677.189,1.6760000000000002,3.5800008136365484,77.0
male,high,S1 shift 50%,817677.189,1.6760000000000002,3.6674667426060776,77.0
female,low,S0 baseline,66387.51,18.820999999999998,36.94428362014806,71.0
female,low,S1 shift 50%,66387.51,18.820999999999998,37.374197760504565,71.0
female,middle,S0 baseline,305424.0,4.274,14.356601132398723,77.0
female,middle,S1 shift 50%,305424.0,4.274,14.611495309529282,77.0
female,high,S0 baseline,816874.999999998,1.6709999999999998,4.839874299545404,79.0
female,high,S1 shift 50%,816874.999999998,1.6709999999999998,4.9364887266218505,79.0
