from,age_group,interval,n,obs_H,obs_C,obs_D,obs_L,obs_N,obs_X,exp_H,exp_C,exp_D,exp_L,exp_N,exp_X,pearson_x2,cells
H,50-64,over 2.25 years,5361,4067,1121,118,14,2,39,3969.843925727361,1184.7420911770162,140.70454410903557,25.850658645518923,1.650964654246469,38.20781568682294,14.993800902970529,6
H,50-64,up to 2.25 years,15251,12451,2401,268,39,3,89,12556.55725959589,2343.3003746014247,263.7072686574379,33.45507592082329,1.8955269624140572,52.084494262013045,30.10488215057098,6
H,65-74,over 2.25 years,1896,1314,483,50,10,10,29,1301.7655535807623,491.61558591571145,55.7386983257125,9.602604340275684,1.9716271647073016,35.30593067283091,34.69070497628995,6
H,65-74,up to 2.25 years,5392,4121,1058,112,16,9,76,4189.858629465099,1028.011154714068,107.53362209069539,12.609753633449422,2.314781961692751,51.67205813499584,33.86471833390432,6
H,75-84,over 2.25 years,859,537,204,57,14,20,27,541.5016329841662,210.17775910222164,52.056001414459445,11.054306588684081,4.747067477105055,39.463232433363714,54.41925226397512,6
H,75-84,up to 2.25 years,2104,1517,396,82,9,16,84,1530.3055071003719,402.46279798741284,98.20936140224933,15.37325558454405,5.830272351703986,51.81880557371807,43.26156800047833,6
H,85+,over 2.25 years,244,113,49,35,8,23,16,118.79468316019356,47.692743281956595,29.782770275307627,9.538207264051668,6.286431246006686,31.905164772483893,53.84535608736668,6
H,85+,up to 2.25 years,551,322,84,44,12,25,64,339.08102203952666,89.7745532870357,60.89238110551972,13.929210942964911,8.403109590134502,38.919723034818524,55.127589546345604,6
C,50-64,over 2.25 years,13745,0,12334,1035,182,26,168,24.097833754176996,12059.093608911302,1090.3774076712057,227.65865253972453,23.113977939259982,320.65851918433134,115.37216265942811,6
C,50-64,up to 2.25 years,38619,0,34673,2572,418,33,923,35.31963496823537,35123.3999516935,2482.438149994594,382.5059004683052,44.99834867839988,550.3380141969623,303.16783523994945,6
C,65-74,over 2.25 years,12329,0,10795,989,170,73,302,9.333876599818458,10560.384929126463,969.0179983951143,184.32446691346473,52.82737089947891,553.1113580656615,137.77857771619375,6
C,65-74,up to 2.25 years,34431,0,30201,2306,309,88,1527,14.221897617287649,30767.611434246035,2250.7636139004626,318.20332468570143,102.81029347394221,977.389436076573,337.4715538516198,6
C,75-84,over 2.25 years,9163,0,7073,1058,254,218,560,7.930988372579705,6811.09342063396,1050.8153669528579,248.88949040796433,164.01757648713956,880.2531571454997,152.4374405474575,6
C,75-84,up to 2.25 years,23404,0,18430,2306,372,201,2095,11.648665739352301,18991.785182419175,2308.271849479259,402.54373080672656,297.34478453380234,1392.4057870216895,416.325767465892,6
C,85+,over 2.25 years,2922,0,1659,446,191,244,382,3.404227146784199,1529.338074460347,437.511267672043,142.82097173279095,169.33557629137846,639.5898826966568,167.47851156545056,6
C,85+,up to 2.25 years,7241,0,4291,968,253,261,1468,5.212596840844552,4714.656835620591,1024.3399825797612,237.31114403028124,318.6684815371593,940.8109593913632,353.2677944907973,6
D,50-64,over 2.25 years,2075,56,910,782,265,14,48,35.61286180072572,976.7628500492926,679.549026875626,264.55846151330064,9.987769297481591,108.52903046357366,67.05096758094513,6
D,50-64,up to 2.25 years,6059,133,2432,2397,733,20,344,88.11089646742982,2313.9926362240085,2670.3027018793705,752.7317671052995,20.72873322106356,213.13326510282857,137.75639105933064,6
D,65-74,over 2.25 years,1665,22,668,635,219,40,81,12.457970239019481,725.451178092419,523.0171981401434,193.55318135084636,24.0393197416197,186.48115243595237,109.44174294272179,6
