variant,male_e65,male_ever_ltc_pct,male_ever_medicaid_pct,male_pv_medicare,male_pv_oop,male_cvar95_oop,male_cvar95_mc_se,female_e65,female_ever_ltc_pct,female_ever_medicaid_pct,female_pv_medicare,female_pv_oop,female_cvar95_oop,female_cvar95_mc_se
baseline,18.2968875,44.2275,15.2125,154777.5654011723,35057.77011460979,185745.58874310355,2152.7847512812264,20.716125,57.865,23.41,171775.34477995717,43639.923365315175,234519.09577514548,2762.6114215299244
discount 2%,18.2968875,44.2275,15.2125,173027.1203785743,39340.38652845677,213025.1338531483,2498.3239775243396,20.716125,57.865,23.41,193907.74436547543,49830.57395710739,274356.6878186248,3231.9333562789475
discount 4%,18.2968875,44.2275,15.2125,139455.62734019457,31480.906812749618,163868.2907008162,1890.308067595458,20.716125,57.865,23.41,153404.33919608366,38558.63026629146,203048.79962915613,2405.10564541283
Trustees real growth 1.7%,18.2968875,44.2275,16.105,188416.36467387763,42861.668285524654,235532.7812889476,2775.7567475269184,20.716125,57.865,25.105,212762.85339824905,54881.89013367692,307205.7563968493,3676.303645560024
"D, L and N Medicare +25%",18.2968875,44.2275,15.2125,166175.69891099533,35057.77011460979,185745.58874310355,2152.7847512812264,20.716125,57.865,23.41,186553.94878864076,43639.923365315175,234519.09577514548,2762.6114215299244
functional cost gradient,18.2968875,44.2275,15.2125,159703.98042234912,35057.77011460979,185745.58874310355,2152.7847512812264,20.716125,57.865,23.41,183189.25308607423,43639.923365315175,234519.09577514548,2762.6114215299244
Medicare not scaled to MCBS,18.2968875,44.2275,15.2125,134608.3842613396,35057.77011460979,185745.58874310355,2152.7847512812264,20.716125,57.865,23.41,149490.18048012376,43639.923365315175,234519.09577514548,2762.6114215299244
Medicare from FFS only,18.2968875,44.2275,15.2125,149507.30339012467,35057.77011460979,185745.58874310355,2152.7847512812264,20.716125,57.865,23.41,166628.6844423355,43639.923365315175,234519.09577514548,2762.6114215299244
Medicare at Trustees level (x1.59),18.2968875,44.2275,15.2125,246855.1976962588,35057.77011460979,185745.58874310355,2152.7847512812264,20.716125,57.865,23.41,273965.0063954177,43639.923365315175,234519.09577514548,2762.6114215299244
no end-of-life concentration,18.2968875,44.2275,15.2125,158661.45738859865,35057.77011460979,185745.58874310355,2152.7847512812264,20.716125,57.865,23.41,180732.23404745644,43639.923365315175,234519.09577514548,2762.6114215299244
mortality not calibrated,17.583125,41.1825,14.59,150734.25648168763,33804.41933146183,179905.8182912854,2231.861134165511,20.365325,56.965,22.93,169615.56957424906,43024.543416873326,233111.7208330065,2745.3513392268205
